Week,MeanDiff,LowerBound,UpperBound
0,0,0,0
1,0.102,-0.2,0.45
2,-0.8986,-1.5,-0.2
3,-1.066,-1.9,-0.25
4,-1.5831,-2.95,-0.149999999999999
5,-1.3696,-3.6,0.95
6,-0.8681,-3.7,2.25
7,0.6912,-3.7,5.4
8,1.5475,-3.6,7.35
9,2.2609,-3.8,9.05
10,2.1509,-4.55,9.75
11,2.1567,-5.3,10.4
12,2.6665,-6,11.9
13,2.9675,-6.25,13.1
14,2.3249,-7.85,12.9
15,3.8513,-7.85,16.5
16,3.8132,-9.45,18
17,3.8307,-10.2,19.25
18,3.7502,-11.4,20.1
19,3.0411,-13.6,20.35
20,3.7068,-14.05,21.9
21,3.9726,-14.5,23.7
22,3.7185,-15.9,24.35
23,3.711,-16.9,24.85
24,3.3442,-19.15,26.25
25,3.2807,-21.35,28.05
26,3.3254,-22.55,29.05
27,4.9685,-22.6,32.1
28,5.6507,-22.2,33.15
29,7.1304,-22.05,36.05
30,10.1357,-21.6,40.2
31,11.4005,-21.6,43.1
32,12.5305,-22,46.15
33,14.7885,-21.95,50.3
34,17.5978,-20.7,54.25
35,18.8986,-19.85,57.8
36,20.6434,-18.55,60.8
37,20.6567,-19.7,60.8
38,22.2344,-19.3,62.85
39,23.9057,-19.8,65.75
40,25.1407,-19.9,66.85
41,27.3226,-18.9,69.45
42,29.6895,-16.9,73.2
43,32.7408,-15.95,77.05
44,34.4074,-16.3,78.5
45,34.6967,-17.35,77.8
46,37.6572,-14.4,80.3
47,39.2007,-12.95,82.2
48,40.9891,-10.55,84.9
49,43.547,-9,87.35
50,46.812,-7.84999999999999,92.2
51,50.0178,-6.25,97.75
52,52.2738,-3.84999999999999,103.65
53,55.6298,-0.949999999999989,109
54,59.3451,2.75,115.75
55,63.2185,4.65000000000001,119.1
56,65.4438,5,124
57,67.7388,5.29999999999998,127.65
58,71.1797,6.5,133.55
59,73.1528,8.10000000000002,136.9
60,75.845,10.65,139.5
61,76.6827,10.6,142.1
62,78.3612,11.7,146.2
63,80.5468,11.8,150.4
64,82.554,14.25,154.85
65,83.9969,14.3,158.65
66,87.1465,16.75,164.65
67,88.8841,16.8,168
68,90.3659,16.8,168.85
69,94.1054,19.55,175.95
70,96.5947,21.55,180.15
71,98.231,21.45,184.4
72,101.402,22.8,188.35
73,104.1151,24,192.25
74,106.7356,25.05,194.85
75,109.9497,26.8,199.95
76,112.5482,27.65,201.85
77,115.7863,29.55,205.95
78,119.4101,30.55,212.45
79,122.7645,32.5,218.6
80,124.8758,33.15,222.2
81,126.3675,32,223.3
82,129.7329,34.1,228.55
83,132.3368,36.3,232.55
84,136.1672,38.65,236.65
85,137.5768,40,240.6
