Week,MeanDiff,LowerBound,UpperBound
0,0,0,0
1,0.2019,-0.05,0.45
2,-0.328,-0.9,0.25
3,-0.4917,-1.3,0.3
4,-0.6306,-2.05,0.9
5,0.3804,-1.9,2.75
6,0.167,-3.45,3.55
7,2.7893,-1.7,7.25
8,4.0585,-1.5,9.65
9,5.5252,-1,12.05
10,6.334,-0.800000000000001,13.4
11,7.8504,0.35,15.55
12,9.2583,0.85,18
13,10.6127,1.75,19.95
14,11.2957,2.2,21.15
15,13.4869,2.15,25.65
16,15.0891,2.65,28.7
17,16.2411,3.05,30.35
18,16.5414,2.65,31.5
19,17.8444,2.95,33.6
20,19.4717,4.05,35.9
21,20.9869,4.65,38.55
22,21.0351,3.6,40.3
23,20.1253,1.95,40.1
24,20.1444,0.699999999999996,40.7
25,19.7265,-1.35,41.9
26,18.4022,-4.6,42.5
27,18.5827,-6.65,44.15
28,18.663,-8.1,45.2
29,19.7186,-7.65,48.05
30,21.6175,-6.8,51.7
31,20.6938,-8.59999999999999,51.95
32,20.1566,-11.15,52.1
33,19.5428,-12.9,53.55
34,17.9277,-16.4,53.45
35,18.0401,-17.85,55.2
36,14.7976,-22.35,53.05
37,12.9091,-24.45,49.55
38,10.6683,-28.05,48.8
39,10.2237,-29.3,50.7
40,8.2388,-32.85,51.45
41,7.8853,-34,52.55
42,5.9104,-36.3,50.35
43,6.0952,-37.6,50.65
44,6.556,-38.25,50.75
45,4.1583,-42.25,48.75
46,4.0796,-44,49.7
47,3.6054,-46.1,51.1
48,1.8184,-49.3,50.65
49,-0.3454,-54.65,49.7
50,-0.0724999999999995,-55.3,50.6
51,-0.108700000000002,-57.05,53.55
52,-1.8726,-59.85,53.6
53,-1.6376,-60.95,54.6
54,-2.5203,-64.05,54.3
55,-3.2316,-65.25,55.25
56,-3.8637,-67.65,57.25
57,-5.8366,-71.35,58.2
58,-7.5039,-74.6,58.05
59,-10.141,-78.3,57.8
60,-11.2114,-80.25,60.4
61,-12.1395,-82.65,60.5
62,-13.2349,-85.5,61.9
63,-13.0077,-86.95,64.25
64,-11.8116,-86.7,66.65
65,-12.4478,-87.9,67.65
66,-13.7705,-90.5,68.55
67,-13.8124,-92.3,70.8
68,-15.81,-93.8,71.15
69,-15.3694,-95.45,73.65
70,-16.9058,-97.8,72.4
71,-19.0429,-100.9,72.9
72,-20.3861,-103.85,72.15
73,-20.8746,-105.4,72.55
74,-22.7735,-110.1,69.2
75,-22.3888,-111.05,70.1
76,-24.4905,-113.95,69.5
77,-24.2895,-113.1,72.1
78,-24.7867,-115.55,74.9
79,-25.925,-116.6,74.95
80,-28.1256,-120.95,71.45
81,-28.7158,-123.45,72.55
82,-28.8636,-123.85,73.2
83,-29.5732,-124.3,74.3
84,-29.433,-126.05,77.1
85,-29.3446,-126.5,78.6
