Week,New Births,New Infections,infected_per_infectious,r_t,max(infectious_wks),new infect|hiv,new infect|vax1,new infect|vax2,new infect b,new infect h,new infect w,new infect a1,new infect a2,new infect a3,new infect a4,new infect a5,To Vax 1,To Vax 2,To Vax,To Vax1 plwh,To Aware (asym),To Aware (sym),To Aware,To aware|hiv,To Aware b|hiv,To Aware h|hiv,To Aware w|hiv,To Aware ls 40|hiv,To Aware ge 40|hiv,To_aware_b,To_aware_h,To_aware_w,To_aware_a1,To_aware_a2,To_aware_a3,To_aware_a4,To_aware_a5,To_vax1_b,To_vax1_h,To_vax1_w,To_vax1_a1,To_vax1_a2,To_vax1_a3,To_vax1_a4,To_vax1_a5,To_vax2_b,To_vax2_h,To_vax2_w,To_vax2_a1,To_vax2_a2,To_vax2_a3,To_vax2_a4,To_vax2_a5,To_vax_b,To_vax_h,To_vax_w,To_vax_a1,To_vax_a2,To_vax_a3,To_vax_a4,To_vax_a5,Asymp to Symp,Symp to Recover,Asymp to Recover,To on Treatment,To Death,To isolation,Alive MSM,Sus,Asymp,Symp,recovered,aware,aware_asym,aware_sym,vax_1,vax_2,vac1_sus,vac1_asy,vac1_sym,vac1_rec,vac2_sus,vac2_asy,vac2_sym,vac2_rec,vac1_b,vac1_h,vac1_w,vac2_b,vac2_h,vac2_w,vac1_hiv,vac2_hiv,on trt,on iso,hiv aware,pox + hiv aware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263322,260544,0,5,2773,3,0,3,19563,45520,19393,0,0,170,45271,0,1,248,2332,7908,9323,5252,18077,22191,4340,10155,2,1,50306,0
1,80,1,0.166666666666667,0,0,0,0,0,1,0,0,0,1,0,0,0,90,162,252,24,0,3,3,1,0,1,0,0,1,0,2,1,0,2,1,0,0,13,33,44,24,20,21,10,15,18,75,69,38,35,33,26,30,31,108,113,62,55,54,36,45,1,3,0,3,80,0,263322,260543,0,4,2775,3,0,3,19486,45666,19316,0,0,170,45417,0,1,248,0,0,19486,0,0,45666,4330,10182,3,0,50321,1
2,80,2,0.5,0.5,0,1,0,1,1,1,0,0,2,0,0,0,102,185,287,18,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12,49,41,27,30,19,17,9,24,70,91,44,47,47,25,22,36,119,132,71,77,66,42,31,2,3,0,0,71,0,263331,260552,0,3,2776,1,0,1,19394,45844,19224,0,0,170,45594,0,1,249,0,0,19394,0,0,45844,4303,10235,1,0,50339,0
3,80,5,1.25,1.25,0,1,1,2,5,0,0,1,1,1,2,0,100,155,255,23,1,3,4,1,1,0,0,1,0,2,1,1,1,2,1,0,0,12,41,47,30,26,15,19,10,15,80,60,34,33,33,34,21,27,121,107,64,59,48,53,31,3,1,1,0,73,1,263338,260553,1,6,2778,3,0,3,19335,45993,19163,0,1,171,45740,0,4,249,0,0,19335,0,0,45993,4289,10277,0,1,50351,1
4,80,1,0.166666666666667,0.222222222222222,0,0,0,0,1,0,0,0,0,0,0,1,108,170,278,28,0,3,3,0,0,0,0,0,0,3,0,0,0,1,1,1,0,8,49,51,29,35,18,19,7,22,78,70,40,34,43,28,25,30,127,121,69,69,61,47,32,2,2,0,1,71,0,263347,260561,0,6,2780,4,0,4,19269,46154,19097,0,1,171,45901,0,2,251,0,0,19269,0,0,46154,4279,10325,1,1,50371,0
5,80,3,0.375,0.515625,0,2,0,1,3,0,0,0,2,1,0,0,94,33,127,14,0,4,4,2,2,0,0,1,1,3,0,1,1,1,0,1,1,8,46,40,31,19,15,16,13,3,11,19,11,5,9,4,4,11,57,59,42,24,24,20,17,2,5,0,0,74,0,263353,260562,1,5,2785,3,0,3,19326,46178,19154,0,1,171,45923,1,2,252,0,0,19326,0,0,46178,4283,10337,0,0,50396,1
6,80,3,0.6,1.08,0,2,0,1,3,0,0,0,3,0,0,0,116,35,151,30,0,2,2,1,1,0,0,1,0,2,0,0,0,1,1,0,0,13,52,51,42,22,25,15,12,5,18,12,8,12,2,9,4,18,70,63,50,34,27,24,16,2,3,0,0,58,0,263375,260581,2,4,2788,2,0,2,19405,46207,19233,0,0,172,45951,2,2,252,0,0,19405,0,0,46207,4304,10353,0,0,50419,1
7,80,2,0.333333333333333,0.444444444444444,0,1,1,0,2,0,0,0,0,1,1,0,84,38,122,15,0,3,3,1,1,0,0,1,0,1,1,1,1,2,0,0,0,15,38,31,24,21,14,12,13,6,16,16,9,12,4,8,5,21,54,47,33,33,18,20,18,4,4,0,1,84,0,263371,260573,0,6,2792,2,0,2,19446,46237,19273,0,1,172,45981,0,3,253,0,0,19446,0,0,46237,4307,10369,1,0,50432,1
8,80,2,0.285714285714286,0.326530612244898,0,1,0,1,2,0,0,1,1,0,0,0,91,37,128,13,0,5,5,2,2,0,0,1,1,4,0,1,0,2,2,1,0,7,45,39,30,22,14,12,13,2,15,20,11,9,6,7,4,9,60,59,41,31,20,19,17,1,3,0,0,68,0,263383,260582,1,5,2795,4,0,4,19495,46264,19321,0,2,172,46007,0,2,255,0,0,19495,0,0,46264,4313,10377,0,0,50449,2
9,80,1,0.2,0.32,0,0,0,1,1,0,0,0,1,0,0,0,95,43,138,23,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,7,49,39,29,24,16,11,15,3,20,20,15,9,8,8,3,10,69,59,44,33,24,19,18,2,1,0,0,84,1,263379,260577,0,6,2796,4,0,4,19542,46297,19368,0,2,172,46039,0,2,256,0,0,19542,0,0,46297,4334,10388,0,1,50467,2
