Week,New Births,New Infections,infected_per_infectious,r_t,max(infectious_wks),new infect|hiv,new infect|vax1,new infect|vax2,new infect b,new infect h,new infect w,new infect a1,new infect a2,new infect a3,new infect a4,new infect a5,To Vax 1,To Vax 2,To Vax,To Vax1 plwh,To Aware (asym),To Aware (sym),To Aware,To aware|hiv,To Aware b|hiv,To Aware h|hiv,To Aware w|hiv,To Aware ls 40|hiv,To Aware ge 40|hiv,To_aware_b,To_aware_h,To_aware_w,To_aware_a1,To_aware_a2,To_aware_a3,To_aware_a4,To_aware_a5,To_vax1_b,To_vax1_h,To_vax1_w,To_vax1_a1,To_vax1_a2,To_vax1_a3,To_vax1_a4,To_vax1_a5,To_vax2_b,To_vax2_h,To_vax2_w,To_vax2_a1,To_vax2_a2,To_vax2_a3,To_vax2_a4,To_vax2_a5,To_vax_b,To_vax_h,To_vax_w,To_vax_a1,To_vax_a2,To_vax_a3,To_vax_a4,To_vax_a5,Asymp to Symp,Symp to Recover,Asymp to Recover,To on Treatment,To Death,To isolation,Alive MSM,Sus,Asymp,Symp,recovered,aware,aware_asym,aware_sym,vax_1,vax_2,vac1_sus,vac1_asy,vac1_sym,vac1_rec,vac2_sus,vac2_asy,vac2_sym,vac2_rec,vac1_b,vac1_h,vac1_w,vac2_b,vac2_h,vac2_w,vac1_hiv,vac2_hiv,on trt,on iso,hiv aware,pox + hiv aware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263322,260544,0,5,2773,3,0,3,19563,45520,19393,0,0,170,45271,0,1,248,2332,7908,9323,5252,18077,22191,4340,10155,2,1,50306,0
1,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,181,376,44,0,2,2,1,0,1,0,0,1,0,2,0,0,1,1,0,0,14,81,100,60,56,31,26,22,18,81,82,46,40,46,21,28,32,162,182,106,96,77,47,50,0,2,0,2,68,0,263334,260555,0,4,2775,4,0,4,19573,45695,19403,0,0,170,45446,0,1,248,0,0,19573,0,0,45695,4350,10187,2,0,50322,1
2,80,1,0.25,0.25,0,0,0,0,1,0,0,0,0,1,0,0,174,177,351,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,73,75,51,39,41,23,20,25,62,90,56,28,40,32,21,51,135,165,107,67,81,55,41,1,3,0,0,80,0,263334,260555,0,2,2777,1,0,1,19567,45863,19397,0,0,170,45614,0,0,249,0,0,19567,0,0,45863,4349,10230,0,0,50338,1
3,80,2,0.666666666666667,0.666666666666667,0,0,0,2,2,0,0,0,1,1,0,0,179,151,330,35,1,1,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,19,72,88,49,50,33,25,22,20,62,69,36,35,22,37,21,39,134,157,85,85,55,62,43,1,3,0,0,66,0,263348,260566,1,1,2780,1,1,0,19591,46005,19421,0,0,170,45754,1,1,249,0,0,19591,0,0,46005,4355,10265,0,0,50355,0
4,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,180,370,48,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12,86,92,50,46,37,35,22,21,79,80,45,45,38,33,19,33,165,172,95,91,75,68,41,1,1,0,0,77,0,263351,260569,0,1,2781,1,0,1,19594,46178,19424,0,0,170,45927,0,1,250,0,0,19594,0,0,46178,4369,10305,0,0,50370,0
5,80,2,0.666666666666667,0.222222222222222,0,2,0,0,2,0,0,1,1,0,0,0,187,71,258,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,75,91,54,43,39,34,17,6,37,28,19,26,15,8,3,27,112,119,73,69,54,42,20,2,1,0,0,68,1,263363,260577,0,4,2782,2,0,2,19705,46243,19535,0,0,170,45991,0,1,251,0,0,19705,0,0,46243,4389,10321,0,1,50388,0
6,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,50,225,37,0,2,2,2,2,0,0,2,0,2,0,0,1,1,0,0,0,27,66,82,46,41,38,30,20,10,16,24,12,11,10,7,10,37,82,106,58,52,48,37,30,0,2,0,0,70,0,263373,260587,0,2,2784,2,0,2,19822,46284,19652,0,0,170,46032,0,0,252,0,0,19822,0,0,46284,4414,10340,0,1,50411,1
7,80,2,0.5,0.5,0,1,0,1,1,1,0,1,0,1,0,0,206,74,280,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,94,92,63,53,31,32,27,10,26,38,19,21,14,11,9,30,120,130,82,74,45,43,36,1,1,0,1,63,0,263390,260600,1,4,2785,3,0,3,19953,46350,19783,0,0,170,46096,1,1,252,0,0,19953,0,0,46350,4449,10364,1,1,50429,0
8,80,1,0.2,0.24,0,1,0,0,1,0,0,1,0,0,0,0,174,53,227,37,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,22,83,69,47,41,27,35,24,3,27,23,14,9,8,11,11,25,110,92,61,50,35,46,35,0,1,0,1,74,1,263396,260604,2,4,2786,4,0,4,20068,46392,19898,0,0,170,46138,1,1,252,0,0,20068,0,0,46392,4472,10383,2,2,50448,0
9,80,3,0.75,1.875,0,0,0,2,3,0,0,1,2,0,0,0,180,67,247,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,75,86,60,48,24,30,18,6,21,40,19,12,17,13,6,25,96,126,79,60,41,43,24,2,1,0,2,75,0,263401,260606,3,5,2787,3,0,3,20175,46448,20005,0,0,170,46192,1,3,252,0,0,20175,0,0,46448,4502,10394,3,2,50468,0
