Week,New Births,New Infections,infected_per_infectious,r_t,max(infectious_wks),new infect|hiv,new infect|vax1,new infect|vax2,new infect b,new infect h,new infect w,new infect a1,new infect a2,new infect a3,new infect a4,new infect a5,To Vax 1,To Vax 2,To Vax,To Vax1 plwh,To Aware (asym),To Aware (sym),To Aware,To aware|hiv,To Aware b|hiv,To Aware h|hiv,To Aware w|hiv,To Aware ls 40|hiv,To Aware ge 40|hiv,To_aware_b,To_aware_h,To_aware_w,To_aware_a1,To_aware_a2,To_aware_a3,To_aware_a4,To_aware_a5,To_vax1_b,To_vax1_h,To_vax1_w,To_vax1_a1,To_vax1_a2,To_vax1_a3,To_vax1_a4,To_vax1_a5,To_vax2_b,To_vax2_h,To_vax2_w,To_vax2_a1,To_vax2_a2,To_vax2_a3,To_vax2_a4,To_vax2_a5,To_vax_b,To_vax_h,To_vax_w,To_vax_a1,To_vax_a2,To_vax_a3,To_vax_a4,To_vax_a5,Asymp to Symp,Symp to Recover,Asymp to Recover,To on Treatment,To Death,To isolation,Alive MSM,Sus,Asymp,Symp,recovered,aware,aware_asym,aware_sym,vax_1,vax_2,vac1_sus,vac1_asy,vac1_sym,vac1_rec,vac2_sus,vac2_asy,vac2_sym,vac2_rec,vac1_b,vac1_h,vac1_w,vac2_b,vac2_h,vac2_w,vac1_hiv,vac2_hiv,on trt,on iso,hiv aware,pox + hiv aware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263322,260544,0,5,2773,3,0,3,19563,45520,19393,0,0,170,45271,0,1,248,2332,7908,9323,5252,18077,22191,4340,10155,2,1,50306,0
1,80,0.8,0.16,0,0,0.2,0.1,0.05,0.45,0.35,0,0.3,0.15,0.1,0.15,0.1,99.2,166.9,266.1,20.8,0,1.75,1.75,0.8,0,0.8,0,0,0.8,0,1.75,0,0,0.95,0.8,0,0,10.15,43.15,45.9,28.3,23.45,18.5,16.1,12.85,15.7,76.05,75.15,41.15,34.95,37.9,27.55,25.35,25.85,119.2,121.05,69.45,58.4,56.4,43.65,38.2,1.25,2.55,0,0.4,69.55,0,263332.45,260552.95,0.55,3.7,2775.25,2.35,0,2.35,19492.2,45678.35,19322.2,0.1,0,169.9,45429.15,0.05,1,248.15,0,0,19492.2,0,0,45678.35,4323.8,10188.8,0.9,0.3,50323.3,0.25
2,80,0.6,0.15,0.15,0,0.15,0,0.15,0.5,0.1,0,0.2,0.2,0.1,0.05,0.05,96.1,182.6,278.7,20.45,0,1.15,1.15,0.25,0.1,0.15,0,0.05,0.2,0.25,0.7,0.2,0.3,0.25,0.3,0.25,0.05,11.9,41.3,42.9,26.5,24,19.15,14.65,11.8,23.7,74.15,84.75,48.5,42.05,38.3,28.5,25.25,35.6,115.45,127.65,75,66.05,57.45,43.15,37.05,0.85,1.7,0,0.5,65.05,0,263347.4,260567.95,0.3,2.85,2776.3,1.9,0,1.9,19402.85,45852.15,19232.85,0,0.1,169.9,45602.95,0.05,0.65,248.5,0,0,19402.85,0,0,45852.15,4304.8,10234.85,0.8,0.1,50341.45,0.25
3,80,1,0.3,0.47,0,0.5,0.1,0.2,0.75,0.25,0,0.35,0.3,0.1,0.2,0.05,95.35,170,265.35,20.7,0.1,0.75,0.85,0.2,0.15,0,0.05,0.2,0,0.6,0.1,0.15,0.4,0.15,0.05,0.15,0.1,10.45,39.4,45.5,26.05,23.3,18.7,15.95,11.35,22.55,72.35,75.1,41.15,40,32,33.65,23.2,33,111.75,120.6,67.2,63.3,50.7,49.6,34.55,1.45,1.15,0,0.4,67.3,0,263360.1,260578.95,0.85,3.15,2777.15,1.7,0.05,1.65,19324.3,46013.65,19154.2,0.15,0.15,169.8,45764,0.2,0.7,248.75,0,0,19324.3,0,0,46013.65,4288.25,10277.75,0.6,0,50360.1,0.3
4,80,1.05,0.3,0.51,0,0.35,0.1,0.05,0.95,0.1,0,0.15,0.45,0.15,0.15,0.15,98,174.3,272.3,21.8,0.05,1.35,1.4,0.45,0.3,0.15,0,0.2,0.25,0.55,0.6,0.25,0.45,0.3,0.25,0.2,0.2,11.8,41.8,44.4,27.9,22.7,18.8,16.15,12.45,23,78.2,73.1,42.95,45.45,37.25,29.2,19.45,34.8,120,117.5,70.85,68.15,56.05,45.35,31.9,1.4,1.1,0,0.5,71.75,0,263368.35,260586.4,0.5,3.45,2778,2,0,2,19245.05,46178.7,19074.85,0,0.4,169.8,45929,0.05,0.8,248.85,0,0,19245.05,0,0,46178.7,4274.05,10320.15,0.6,0,50378.3,0.6
5,80,1.6,NaN,NaN,0,0.7,0.25,0.3,1.3,0.3,0,0.55,0.75,0.05,0.15,0.1,96.1,33.4,129.5,21.6,0.2,1.25,1.45,0.55,0.4,0.15,0,0.25,0.3,0.9,0.45,0.1,0.4,0.35,0.2,0.2,0.3,9.9,41.75,44.45,27.2,22.25,20.05,16.05,10.55,3.8,14.05,15.55,9.45,7.6,6.25,5.8,4.3,13.7,55.8,60,36.65,29.85,26.3,21.85,14.85,2.5,1.5,0.15,0.9,68.9,0,263379.45,260594.05,1.45,4.45,2779.5,1.95,0.05,1.9,19304.5,46203.65,19133.9,0,0.6,170,45953.4,0.4,0.7,249.15,0,0,19304.5,0,0,46203.65,4289.55,10332.45,1.1,0,50395,0.55
6,80,1.2,NaN,NaN,0,0.35,0.05,0.35,1,0.2,0,0.35,0.35,0.25,0.15,0.1,96.45,32.65,129.1,21.2,0,2.05,2.05,0.7,0.45,0.1,0.15,0.5,0.2,0.9,0.7,0.45,0.7,0.55,0.25,0.35,0.2,10.95,42.95,42.55,26.65,22.3,18.65,16.8,12.05,4,14,14.65,8.25,8.05,7.4,4.65,4.3,14.95,56.95,57.2,34.9,30.35,26.05,21.45,16.35,1.95,1.85,0,0.8,64.25,0,263395.2,260608.75,0.7,4.55,2781.2,2.15,0.05,2.1,19364.45,46227.8,19193.8,0,0.35,170.3,45977.2,0.2,1,249.4,0,0,19364.45,0,0,46227.8,4304.55,10344.1,1.05,0,50413.3,0.7
7,80,2.1,NaN,NaN,0,0.65,0.05,0.65,1.7,0.4,0,0.7,0.85,0.4,0.1,0.05,88.7,32.75,121.45,19.1,0.15,1.9,2.05,0.95,0.5,0.35,0.1,0.35,0.6,1.2,0.7,0.15,0.45,0.7,0.3,0.25,0.35,8.75,38.75,41.2,25.1,20.8,17.65,15.15,10,3.45,13.75,15.55,8.85,8.75,5.9,5.55,3.7,12.2,52.5,56.75,33.95,29.55,23.55,20.7,13.7,3.55,2,0.05,0.7,70.6,0,263404.6,260614.35,1.2,6.1,2782.95,2.3,0.15,2.15,19417.15,46250.1,19246.15,0.1,0.35,170.55,45998.65,0.25,1.55,249.65,0,0,19417.15,0,0,46250.1,4318.35,10354.3,0.95,0,50430.65,0.85
8,80,2.3,NaN,NaN,0,1.1,0.25,0.4,2,0.3,0,0.65,0.9,0.35,0.3,0.1,92.95,33.55,126.5,19.8,0.15,3.1,3.25,0.8,0.65,0.1,0.05,0.4,0.4,1.85,0.95,0.45,0.7,1,0.7,0.55,0.3,11,39.15,42.8,24.95,23.1,19.35,14.7,10.85,3.4,13.75,16.4,9.25,7.75,6.3,5.7,4.55,14.4,52.9,59.2,34.2,30.85,25.65,20.4,15.4,2.8,2.5,0.05,0.9,67.65,0,263416.95,260623.65,1.65,6.4,2785.25,3.35,0.1,3.25,19472.7,46274.15,19301.2,0.15,0.7,170.65,46022.3,0.05,1.35,250.45,0,0,19472.7,0,0,46274.15,4332.05,10367.2,1.2,0,50449.45,1.1
9,80,2.75,0.36,0.69,0,1.1,0.25,0.5,2.35,0.4,0,0.6,1.4,0.25,0.3,0.2,96,34.3,130.3,19.95,0.3,2.85,3.15,1.05,0.8,0.1,0.15,0.7,0.35,1.8,0.8,0.55,1.1,1,0.45,0.4,0.2,10.55,41.5,43.95,26.9,22.9,17.8,15.85,12.55,2.95,14.85,16.5,9.7,7.3,7.35,5.8,4.15,13.5,56.35,60.45,36.6,30.2,25.15,21.65,16.7,2.45,2.3,0.2,1.2,70.85,0,263426.1,260630.55,1.75,6.55,2787.25,4,0.05,3.95,19530.45,46299.2,19358.5,0.25,0.6,171.1,46046.85,0.3,1.2,250.85,0,0,19530.45,0,0,46299.2,4346.25,10378.45,1.85,0,50467.3,1.2
