Week,New Births,New Infections,infected_per_infectious,r_t,max(infectious_wks),new infect|hiv,new infect|vax1,new infect|vax2,new infect b,new infect h,new infect w,new infect a1,new infect a2,new infect a3,new infect a4,new infect a5,To Vax 1,To Vax 2,To Vax,To Vax1 plwh,To Aware (asym),To Aware (sym),To Aware,To aware|hiv,To Aware b|hiv,To Aware h|hiv,To Aware w|hiv,To Aware ls 40|hiv,To Aware ge 40|hiv,To_aware_b,To_aware_h,To_aware_w,To_aware_a1,To_aware_a2,To_aware_a3,To_aware_a4,To_aware_a5,To_vax1_b,To_vax1_h,To_vax1_w,To_vax1_a1,To_vax1_a2,To_vax1_a3,To_vax1_a4,To_vax1_a5,To_vax2_b,To_vax2_h,To_vax2_w,To_vax2_a1,To_vax2_a2,To_vax2_a3,To_vax2_a4,To_vax2_a5,To_vax_b,To_vax_h,To_vax_w,To_vax_a1,To_vax_a2,To_vax_a3,To_vax_a4,To_vax_a5,Asymp to Symp,Symp to Recover,Asymp to Recover,To on Treatment,To Death,To isolation,Alive MSM,Sus,Asymp,Symp,recovered,aware,aware_asym,aware_sym,vax_1,vax_2,vac1_sus,vac1_asy,vac1_sym,vac1_rec,vac2_sus,vac2_asy,vac2_sym,vac2_rec,vac1_b,vac1_h,vac1_w,vac2_b,vac2_h,vac2_w,vac1_hiv,vac2_hiv,on trt,on iso,hiv aware,pox + hiv aware
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263322,260544,0,5,2773,3,0,3,19563,45520,19393,0,0,170,45271,0,1,248,2332,7908,9323,5252,18077,22191,4340,10155,2,1,50306,0
1,80,1,0.2,0,0,0,0,0,1,0,0,0,0,1,0,0,81,176,257,10,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,40,36,17,21,18,15,10,17,87,72,45,37,42,27,25,22,127,108,62,58,60,42,35,1,0,0,0,61,0,263341,260561,1,6,2773,4,0,4,19464,45692,19294,0,0,170,45443,0,1,248,0,0,19464,0,0,45692,4313,10191,2,1,50330,0
2,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,173,268,24,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,14,39,42,28,18,26,14,9,21,68,84,34,46,37,31,25,35,107,126,62,64,63,45,34,1,2,0,0,53,1,263368,260588,0,5,2775,3,0,3,19380,45860,19210,0,0,170,45611,0,0,249,0,0,19380,0,0,45860,4302,10228,1,1,50351,0
3,80,1,0.2,0.36,0,1,0,0,1,0,0,0,1,0,0,0,85,145,230,23,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,9,43,33,25,19,16,15,10,19,53,73,37,40,28,21,19,28,96,106,62,59,44,36,29,2,3,0,0,65,0,263383,260601,0,4,2778,1,0,1,19319,45998,19148,0,1,170,45749,0,0,249,0,0,19319,0,0,45998,4295,10266,0,0,50363,0
4,80,2,0.5,1,0,1,0,0,2,0,0,0,0,0,1,1,100,178,278,14,0,3,3,2,1,1,0,1,1,1,2,0,1,1,1,0,0,10,46,44,29,20,19,15,17,26,85,67,46,43,35,31,23,36,131,111,75,63,54,46,40,1,1,0,0,59,0,263404,260620,1,4,2779,3,0,3,19240,46169,19069,0,1,170,45920,0,0,249,0,0,19240,0,0,46169,4271,10310,0,0,50380,1
5,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,25,123,23,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,14,50,34,22,28,17,17,14,0,13,12,5,5,5,9,1,14,63,46,27,33,22,26,15,2,0,0,0,72,2,263412,260627,1,6,2778,4,0,4,19308,46187,19137,0,1,170,45938,0,0,249,0,0,19308,0,0,46187,4290,10315,0,2,50394,1
6,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,30,160,27,0,2,2,1,1,0,0,0,1,1,1,0,0,0,0,1,1,13,60,57,32,36,27,18,17,6,11,13,9,7,8,3,3,19,71,70,41,43,35,21,20,0,2,0,1,86,1,263406,260621,1,4,2780,4,0,4,19407,46209,19236,0,1,170,45960,0,0,249,0,0,19407,0,0,46209,4315,10324,1,2,50406,1
7,80,1,0.25,0.875,0,0,0,0,0,1,0,1,0,0,0,0,94,33,127,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,31,48,30,20,22,15,7,3,17,13,8,7,7,6,5,18,48,61,38,27,29,21,12,2,1,0,1,53,0,263433,260645,2,5,2781,3,0,3,19464,46234,19293,0,1,170,45985,0,0,249,0,0,19464,0,0,46234,4329,10340,1,2,50433,1
8,80,1,0.2,0.52,0,1,0,0,1,0,0,0,1,0,0,0,77,32,109,13,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,10,35,32,19,21,19,12,6,2,14,16,11,3,9,5,4,12,49,48,30,24,28,17,10,1,1,0,2,67,0,263446,260656,3,5,2782,3,0,3,19502,46261,19331,0,0,171,46012,0,0,249,0,0,19502,0,0,46261,4340,10347,2,1,50451,2
9,80,2,0.4,1.04,0,1,1,0,2,0,0,0,1,0,1,0,84,34,118,14,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,45,35,14,21,19,19,11,4,16,14,5,8,8,8,5,8,61,49,19,29,27,27,16,2,1,0,2,67,1,263459,260667,3,6,2783,3,0,3,19547,46291,19375,0,1,171,46042,0,0,249,0,0,19547,0,0,46291,4345,10366,3,1,50464,1
10,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,50,151,19,0,3,3,2,2,0,0,2,0,2,0,1,0,2,0,1,0,9,46,46,34,23,20,18,6,2,25,23,15,15,8,4,8,11,71,69,49,38,28,22,14,2,5,0,1,73,0,263466,260674,1,3,2788,1,0,1,19595,46333,19423,0,0,172,46084,0,0,249,0,0,19595,0,0,46333,4358,10380,1,0,50483,0
11,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,24,101,17,0,2,2,1,0,1,0,1,0,1,1,0,1,0,0,1,0,10,30,37,22,18,13,13,11,3,10,11,8,3,7,4,2,13,40,48,30,21,20,17,13,1,1,0,0,73,1,263473,260681,0,3,2789,2,0,2,19643,46346,19471,0,0,172,46097,0,0,249,0,0,19643,0,0,46346,4371,10390,1,1,50501,1
12,80,1,0.333333333333333,0.666666666666667,0,1,1,0,1,0,0,0,0,0,1,0,102,27,129,28,2,0,2,2,2,0,0,0,2,2,0,0,0,0,0,1,1,11,50,41,25,23,25,14,15,3,11,13,7,6,8,4,2,14,61,54,32,29,33,18,17,2,1,0,1,82,0,263471,260676,1,4,2790,3,1,2,19711,46361,19537,1,1,172,46111,0,1,249,0,0,19711,0,0,46361,4398,10398,1,1,50518,3
13,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,22,119,20,0,2,2,0,0,0,0,0,0,0,0,2,1,0,0,1,0,3,39,55,24,26,20,15,12,0,11,11,2,4,6,6,4,3,50,66,26,30,26,21,16,2,1,0,0,74,0,263477,260680,1,5,2791,4,1,3,19781,46381,19606,1,2,172,46131,0,1,249,0,0,19781,0,0,46381,4416,10406,0,0,50530,2
