Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0.1476,0,0.3
2,0.2057,0.05,0.4
3,0.1087,0,0.25
4,0.1981,0.05,0.4
5,0.4997,0.2,0.85
6,0.1975,0.05,0.4
7,0.1981,0.05,0.4
8,0.4457,0.25,0.7
9,0.2606,0.05,0.5
10,0.0478,0,0.15
11,0,0,0
12,0.1503,0,0.3
13,0.2974,0.05,0.6
14,0.2495,0.05,0.45
15,0.156,0,0.35
16,0.2563,0.1,0.45
17,0.2023,0.05,0.4
18,0.3052,0,0.6
19,0.1042,0,0.3
20,0.0969,0,0.25
21,0.3913,0.2,0.6
22,0.3036,0.1,0.55
23,0.2023,0.05,0.35
24,0.1987,0.05,0.4
25,0.3557,0.1,0.7
26,0.3484,0.15,0.55
27,0.453,0.15,0.8
28,0.4532,0.25,0.65
29,0.3576,0.1,0.6
30,0.2023,0.05,0.4
31,0.6009,0.3,0.95
32,1.048,0.75,1.35
33,0.4492,0.15,0.85
34,0.4081,0.1,0.8
35,0.411,0.2,0.7
36,0.689,0.35,1.05
37,0.105,0,0.25
38,0.1603,0,0.4
39,0.2648,0,0.6
40,0.0521,0,0.15
41,0.2583,0.1,0.45
42,0.0471,0,0.15
43,0.0471,0,0.15
44,0.0984,0,0.25
45,0.1074,0,0.25
46,0.1493,0,0.3
47,0,0,0
48,0.3488,0.15,0.55
49,0.202,0.05,0.35
50,0.1565,0,0.3
51,0.0471,0,0.15
52,0.0969,0,0.25
53,0.3488,0.15,0.55
54,0.2541,0.1,0.45
55,0.201,0,0.5
56,0.1013,0,0.25
57,0.8477,0.5,1.2
58,0.458,0.15,0.8
59,0.4614,0.25,0.7
60,0.3973,0.1,0.7
61,0.3858,0.15,0.65
62,0.1076,0,0.25
63,0.4101,0.2,0.7
64,0.3902,0.15,0.7
65,0.1996,0,0.45
66,0.3443,0.15,0.55
67,0.2904,0.1,0.55
68,0.2538,0.05,0.5
69,0.1584,0.05,0.3
70,0.2347,0.05,0.5
71,0.1005,0,0.25
72,0.1074,0,0.25
73,0.1504,0,0.3
74,0.0514999999999999,0,0.15
75,0.0552999999999999,0,0.15
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
