Week,Mean,LowerBound,UpperBound
0,0,0,0
1,0,0,0
2,0.2452,0.05,0.45
3,0.4982,0.15,0.95
4,0.796,0.5,1.1
5,0.9548,0.35,1.65
6,0.8053,0.4,1.25
7,1.0101,0.5,1.55
8,1.1896,0.75,1.7
9,1.2222,0.45,2.1
10,0.8539,0.5,1.3
11,1.3484,0.95,1.75
12,1.3214,0.9,1.85
13,1.2975,0.75,1.85
14,1.0459,0.45,1.85
15,1.6602,0.95,2.4
16,1.264,0.7,1.95
17,1.8151,1,2.75
18,1.4311,0.7,2.2
19,0.7452,0.4,1.1
20,1.1033,0.5,1.85
21,1.1639,0.45,2.25
22,1.3219,0.7,2.1
23,1.5659,0.95,2.2
24,1.659,1.05,2.4
25,1.1639,0.7,1.7
26,1.9908,1.15,2.95
27,2.3327,1.2,3.75
28,1.7804,1,2.7
29,1.7198,1.1,2.4
30,1.7161,1.05,2.5
31,2.2353,1.35,3.15
32,2.2197,1.25,3.45
33,1.808,1.15,2.45
34,2.3913,1.55,3.1
35,1.8847,1.3,2.45
36,2.3169,1.65,3
37,1.1366,0.65,1.65
38,1.8694,1.3,2.5
39,1.8569,0.95,2.9
40,2.0686,1.1,3.3
41,2.4696,1.5,3.75
42,2.416,1.3,3.8
43,3.0362,1.55,5
44,2.8131,1.1,5.1
45,3.2889,1.85,5.05
46,3.9676,1.5,7.05
47,3.6274,2.05,5.15
48,3.8513,1.85,6.2
49,3.6934,2.2,5.4
50,3.8992,2.1,6.05
51,3.3919,2.1,4.75
52,3.2086,2.05,4.4
53,4.0898,2.7,5.7
54,4.111,2.2,6.4
55,3.4906,2.1,5.05
56,3.6678,2.1,5.55
57,4.199,2.75,5.9
58,4.3529,2.45,6.5
59,5.3069,3.35,7.85
60,4.1795,2.4,6.25
61,4.6484,2.85,6.65
62,5.4715,4.15,6.8
63,4.7932,3.3,6.55
64,4.2448,2.75,5.95
65,5.6417,3.45,8.15
66,4.5205,2.95,5.9
67,5.3054,3.3,7.6
68,5.3095,2.9,8.1
69,5.4133,3.25,8
70,6.5823,4.1,9.3
71,6.6277,4,9.35
72,5.8248,3.4,8.6
73,5.0655,3.5,6.75
74,5.2917,3.3,7.4
75,4.1782,2.25,6.3
76,4.8342,2.9,6.85
77,4.6649,2.65,7.3
78,3.9043,2.35,5.5
79,3.3748,1.8,4.65
80,3.1547,1.6,4.9
81,4.909,2.9,6.95
82,3.363,1.95,4.7
83,2.0733,1.1,2.95
84,3.0368,1.6,4.4
85,2.6767,1.5,3.9
